Year,Butte,Imperial,Los Angeles,Orange,Placer,San Diego,San Francisco,Shasta
2002,10,13,196,55,11,74,7,11
2003,10,15,227,44,10,83,14,11
2004,9,17,208,51,10,89,15,7
2005,9,8,224,61,10,91,11,10
2006,11,4,220,65,12,93,11,9
2007,14,11,212,56,7,91,13,10
2008,10,6,191,46,7,87,7,6
2013,7,6,187,51,5,54,7,10
2014,10,9,172,41,3,55,7,12
2015,14,4,149,49,5,71,7,11
2016,13,7,242,54,9,84,8,10
2017,16,6,205,57,9,77,4,9
2018,8,10,212,61,7,75,6,10
2019,9,5,153,54,7,64,11,16
