Year,Butte/Placer/Shasta,Imperial,Los Angeles/Orange,San Diego,San Francisco
2013,397,334,1820,623,1066
2014,198,401,3048,974,964
2015,744,478,3553,709,777
2016,443,512,4369,1065,1059
2017,926,596,2740,999,893
2018,728,510,4270,1339,1268
2019,546,415,3142,1044,836
