Year,passenger cars,light trucks,large trucks,motocycles
2002,10,2,1,2
2003,10,8,2,4
2004,13,5,0,5
2005,9,2,0,3
2006,11,6,0,3
2007,10,6,2,5
2008,4,6,0,7
2013,3,3,0,4
2014,4,1,1,4
2015,2,1,0,7
2016,10,2,0,3
2017,0,1,1,5
2018,3,1,0,4
2019,10,6,0,3
