Year,passenger cars,light trucks,large trucks,motocycles
2002,26,11,0,4
2003,12,12,0,2
2004,20,9,0,3
2005,15,11,0,5
2006,11,16,0,3
2007,13,15,0,3
2008,11,8,0,6
2013,2,10,0,1
2014,9,10,0,3
2015,16,3,0,3
2016,8,11,0,4
2017,22,5,1,2
2018,9,10,0,6
2019,16,6,1,3
