Year,passenger cars,light trucks,large trucks,motocycles
2002,87,31,4,16
2003,87,42,0,22
2004,89,33,0,29
2005,78,32,1,30
2006,82,31,0,29
2007,72,38,1,25
2008,62,25,0,36
2013,63,22,2,32
2014,51,19,1,36
2015,54,23,0,30
2016,58,21,0,46
2017,70,27,0,40
2018,65,27,0,29
2019,48,28,1,36
